id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
S;SUL;2026-01-01 22:00:00;13405.076999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-01 22:00:00;47433.19
N;NORTE;2026-01-01 23:00:00;8681.054000000002
NE;NORDESTE;2026-01-01 23:00:00;14701.132
S;SUL;2026-01-01 23:00:00;12639.317999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-01 23:00:00;45771.366
N;NORTE;2026-01-02 00:00:00;8573.224999999999
NE;NORDESTE;2026-01-02 00:00:00;14505.213999999998
S;SUL;2026-01-02 00:00:00;11979.427
SE;SUDESTE/CENTRO-OESTE;2026-01-02 00:00:00;43785.14199999999
N;NORTE;2026-01-02 01:00:00;8420.567000000003
NE;NORDESTE;2026-01-02 01:00:00;14180.39
S;SUL;2026-01-02 01:00:00;11340.827
SE;SUDESTE/CENTRO-OESTE;2026-01-02 01:00:00;42138.941000000006
N;NORTE;2026-01-02 02:00:00;8195.474
NE;NORDESTE;2026-01-02 02:00:00;14013.255
S;SUL;2026-01-02 02:00:00;10889.428000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-02 02:00:00;41007.73400000001
N;NORTE;2026-01-02 03:00:00;7990.045
NE;NORDESTE;2026-01-02 03:00:00;13838.086
S;SUL;2026-01-02 03:00:00;10571.576
SE;SUDESTE/CENTRO-OESTE;2026-01-02 03:00:00;40236.68799999998
N;NORTE;2026-01-02 04:00:00;7793.266
NE;NORDESTE;2026-01-02 04:00:00;13686.764
S;SUL;2026-01-02 04:00:00;10418.197
SE;SUDESTE/CENTRO-OESTE;2026-01-02 04:00:00;39784.637
N;NORTE;2026-01-02 05:00:00;7625.681
NE;NORDESTE;2026-01-02 05:00:00;13097.643999999998
S;SUL;2026-01-02 05:00:00;10334.369999999995
SE;SUDESTE/CENTRO-OESTE;2026-01-02 05:00:00;39594.705
N;NORTE;2026-01-02 06:00:00;7441.549000000001
NE;NORDESTE;2026-01-02 06:00:00;12319.859000000002
S;SUL;2026-01-02 06:00:00;10562.201999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-02 06:00:00;39895.352000000006
N;NORTE;2026-01-02 07:00:00;7432.119000000001
NE;NORDESTE;2026-01-02 07:00:00;12292.015
S;SUL;2026-01-02 07:00:00;10952.892000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-02 07:00:00;41208.65100000001
N;NORTE;2026-01-02 08:00:00;7529.995000000001
NE;NORDESTE;2026-01-02 08:00:00;12883.631
S;SUL;2026-01-02 08:00:00;11660.586
SE;SUDESTE/CENTRO-OESTE;2026-01-02 08:00:00;43034.079
N;NORTE;2026-01-02 09:00:00;7698.275
NE;NORDESTE;2026-01-02 09:00:00;12781.148
S;SUL;2026-01-02 09:00:00;12085.726
SE;SUDESTE/CENTRO-OESTE;2026-01-02 09:00:00;44341.89199999999
N;NORTE;2026-01-02 10:00:00;7705.401
NE;NORDESTE;2026-01-02 10:00:00;12979.657000000005
S;SUL;2026-01-02 10:00:00;12323.549
SE;SUDESTE/CENTRO-OESTE;2026-01-02 10:00:00;45559.37999999998
N;NORTE;2026-01-02 11:00:00;7939.572
NE;NORDESTE;2026-01-02 11:00:00;13158.954000000003
S;SUL;2026-01-02 11:00:00;12717.383999999998
SE;SUDESTE/CENTRO-OESTE;2026-01-02 11:00:00;46142.426
N;NORTE;2026-01-02 12:00:00;8035.659
NE;NORDESTE;2026-01-02 12:00:00;12858.937999999998
S;SUL;2026-01-02 12:00:00;13083.856
SE;SUDESTE/CENTRO-OESTE;2026-01-02 12:00:00;45539.927
N;NORTE;2026-01-02 13:00:00;8322.055
NE;NORDESTE;2026-01-02 13:00:00;12812.918
S;SUL;2026-01-02 13:00:00;13529.189000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-02 13:00:00;45150.322
N;NORTE;2026-01-02 14:00:00;8423.829
NE;NORDESTE;2026-01-02 14:00:00;12960.885999999997
S;SUL;2026-01-02 14:00:00;13563.096
SE;SUDESTE/CENTRO-OESTE;2026-01-02 14:00:00;46055.408
N;NORTE;2026-01-02 15:00:00;8604.824
NE;NORDESTE;2026-01-02 15:00:00;13466.589
S;SUL;2026-01-02 15:00:00;13463.527
SE;SUDESTE/CENTRO-OESTE;2026-01-02 15:00:00;46356.66900000001
N;NORTE;2026-01-02 16:00:00;8566.365000000002
NE;NORDESTE;2026-01-02 16:00:00;13758.482
S;SUL;2026-01-02 16:00:00;13318.945
SE;SUDESTE/CENTRO-OESTE;2026-01-02 16:00:00;46672.792
N;NORTE;2026-01-02 17:00:00;8375.394
NE;NORDESTE;2026-01-02 17:00:00;13527.729999999998
S;SUL;2026-01-02 17:00:00;13635.129
SE;SUDESTE/CENTRO-OESTE;2026-01-02 17:00:00;46677.78999999999
N;NORTE;2026-01-02 18:00:00;8319.409000000001
NE;NORDESTE;2026-01-02 18:00:00;14425.242
S;SUL;2026-01-02 18:00:00;13451.082
SE;SUDESTE/CENTRO-OESTE;2026-01-02 18:00:00;47981.17
N;NORTE;2026-01-02 19:00:00;8729.102999999997
NE;NORDESTE;2026-01-02 19:00:00;14749.524
S;SUL;2026-01-02 19:00:00;14229.990999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-02 19:00:00;50624.669
N;NORTE;2026-01-02 20:00:00;8862.030999999999
NE;NORDESTE;2026-01-02 20:00:00;14738.604000000005
S;SUL;2026-01-02 20:00:00;14869.007999999998
SE;SUDESTE/CENTRO-OESTE;2026-01-02 20:00:00;50639.25400000001
N;NORTE;2026-01-02 21:00:00;8993.804000000002
NE;NORDESTE;2026-01-02 21:00:00;15169.237000000005
S;SUL;2026-01-02 21:00:00;14732.879999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-02 21:00:00;49905.54899999999
N;NORTE;2026-01-02 22:00:00;9077.812000000002
NE;NORDESTE;2026-01-02 22:00:00;15431.352999999996
S;SUL;2026-01-02 22:00:00;14261.233999999997
SE;SUDESTE/CENTRO-OESTE;2026-01-02 22:00:00;48396.716000000015
N;NORTE;2026-01-02 23:00:00;8989.546000000002
